AÑO,CONCURSO,ÁREA,CARRERA,PLANTEL,OFERTA,ASPIRANTES,PRESENTARON EXAMEN,ACIERTOS MÍNIMOS,SELECCIONADOS
2018,Febrero,1,(101)  ACTUARIA,FES ACATLAN,36,690,642,95,36
2018,Febrero,1,(101)  ACTUARIA,FACULTAD DE CIENCIAS,40,1431,1324,106,43
2018,Febrero,1,(102)  ARQUITECTURA,FACULTAD DE ARQUITECTURA,190,3790,3516,92,204
2018,Febrero,1,(102)  ARQUITECTURA,FES ARAGON,60,1366,1295,79,63
2018,Febrero,1,(102)  ARQUITECTURA,FES ACATLAN,62,1073,992,79,68
2018,Febrero,1,(103)  ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,15,207,192,86,15
2018,Febrero,1,(104)  CIENCIAS DE LA COMPUTACION,FACULTAD DE CIENCIAS,20,672,610,105,22
2018,Febrero,1,(105)  DISEÑO INDUSTRIAL,FES ARAGON,15,461,430,86,16
2018,Febrero,1,(106)  FISICA,FACULTAD DE CIENCIAS,72,1912,1778,108,72
2018,Febrero,1,(107)  INGENIERIA CIVIL,FES ARAGON,95,923,866,73,96
2018,Febrero,1,(107)  INGENIERIA CIVIL,FACULTAD DE INGENIERIA,98,1341,1237,90,99
2018,Febrero,1,(107)  INGENIERIA CIVIL,FES ACATLAN,72,694,652,73,79
2018,Febrero,1,(108)  INGENIERIA DE MINAS Y METALURGIA,FACULTAD DE INGENIERIA,15,281,262,95,15
2018,Febrero,1,(109)  INGENIERIA ELECTRICA ELECTRONICA,FACULTAD DE INGENIERIA,76,1458,1353,98,79
2018,Febrero,1,(109)  INGENIERIA ELECTRICA ELECTRONICA,FES ARAGON,42,397,361,78,43
2018,Febrero,1,(110)  INGENIERIA EN COMPUTACION,FACULTAD DE INGENIERIA,86,2468,2289,95,95
2018,Febrero,1,(110)  INGENIERIA EN COMPUTACION,FES ARAGON,50,1294,1222,83,50
2018,Febrero,1,(112)  INGENIERIA GEOFISICA,FACULTAD DE INGENIERIA,14,235,217,95,14
2018,Febrero,1,(113)  INGENIERIA GEOLOGICA,FACULTAD DE INGENIERIA,20,223,212,90,23
2018,Febrero,1,(114)  INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERIA,45,1361,1253,98,50
2018,Febrero,1,(114)  INGENIERIA INDUSTRIAL,FES CUAUTITLAN,25,643,610,82,28
2018,Febrero,1,(114)  INGENIERIA INDUSTRIAL,FES ARAGON,34,595,558,83,35
2018,Febrero,1,(115)  INGENIERIA MECANICA,FACULTAD DE INGENIERIA,46,1917,1771,103,46
2018,Febrero,1,(115)  INGENIERIA MECANICA,FES ARAGON,26,624,585,82,30
2018,Febrero,1,(116)  INGENIERIA MECANICA ELECTRICA,FES CUAUTITLAN,76,592,553,76,78
2018,Febrero,1,(117)  INGENIERIA PETROLERA,FACULTAD DE INGENIERIA,42,608,564,85,43
2018,Febrero,1,(118)  INGENIERIA QUIMICA,FES ZARAGOZA,80,602,575,77,82
2018,Febrero,1,(118)  INGENIERIA QUIMICA,FACULTAD DE QUIMICA,30,1079,1002,104,32
2018,Febrero,1,(118)  INGENIERIA QUIMICA,FES CUAUTITLAN,46,515,489,81,48
2018,Febrero,1,(119)  INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUIMICA,20,215,197,91,21
2018,Febrero,1,(120)  INGENIERIA GEOMATICA,FACULTAD DE INGENIERIA,15,187,167,82,16
2018,Febrero,1,(121)  MATEMATICAS APLICADAS Y COMPUTACION,FES ACATLAN,170,505,454,64,175
2018,Febrero,1,(122)  MATEMATICAS,FACULTAD DE CIENCIAS,82,489,452,97,89
2018,Febrero,1,(127)  CIENCIAS DE LA TIERRA,FACULTAD DE CIENCIAS,20,321,292,100,21
2018,Febrero,1,(127)  CIENCIAS DE LA TIERRA,"UMDI, JURIQUILLA, QRO",18,56,53,75,19
2018,Febrero,1,"(130)  ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLAN,60,624,580,76,60
2018,Febrero,1,(131)  GEOCIENCIAS,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,23,94,81,76,23
2018,Febrero,1,(132)  TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,26,47,42,60,27
2018,Febrero,1,(133)  CIENCIA DE MATERIALES SUSTENTABLES,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD MORELIA,26,84,79,80,26
2018,Febrero,1,(134)  FISICA BIOMEDICA,FACULTAD DE CIENCIAS,10,343,318,103,13
2018,Febrero,1,(136)  MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,23,277,259,100,24
2018,Febrero,2,(201)  BIOLOGIA,TLAXCALA,20,36,32,60,20
2018,Febrero,2,(201)  BIOLOGIA,FES ZARAGOZA,70,1063,1019,82,70
2018,Febrero,2,(201)  BIOLOGIA,FACULTAD DE CIENCIAS,94,1561,1454,96,98
2018,Febrero,2,(201)  BIOLOGIA,FES IZTACALA,71,857,812,84,73
2018,Febrero,2,(202)  CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGIA,91,1489,1384,85,103
2018,Febrero,2,(202)  CIRUJANO DENTISTA,FES ZARAGOZA,70,1518,1453,79,72
2018,Febrero,2,(202)  CIRUJANO DENTISTA,FES IZTACALA,90,1496,1418,77,94
2018,Febrero,2,(203)  ENFERMERIA Y OBSTETRICIA,ESCUELA NACIONAL DE ENFERMERIA Y OBSTETRICIA,52,2022,1890,82,53
2018,Febrero,2,(204)  INGENIERIA AGRICOLA,FES CUAUTITLAN,75,373,347,67,77
2018,Febrero,2,(205)  INGENIERIA EN ALIMENTOS,FES CUAUTITLAN,86,578,549,67,90
2018,Febrero,2,(207)  MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,65,2687,2501,95,70
2018,Febrero,2,(207)  MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLAN,84,1526,1438,83,87
2018,Febrero,2,(208)  MEDICO CIRUJANO,FACULTAD DE MEDICINA,145,11198,10314,108,162
2018,Febrero,2,(208)  MEDICO CIRUJANO,FES IZTACALA,82,4526,4221,103,82
2018,Febrero,2,(208)  MEDICO CIRUJANO,FES ZARAGOZA,38,3211,3027,103,42
2018,Febrero,2,(209)  OPTOMETRIA,FES IZTACALA,25,419,396,75,25
2018,Febrero,2,(209)  OPTOMETRIA,ESCUELA NACIONAL DE ESTUDIOS SUP. UNIDAD LEON,15,55,53,66,15
2018,Febrero,2,(210)  PSICOLOGIA,TLAXCALA,14,36,36,49,14
2018,Febrero,2,(210)  PSICOLOGIA,FES IZTACALA,82,1796,1692,78,82
2018,Febrero,2,(210)  PSICOLOGIA,FES ZARAGOZA,75,2253,2165,77,79
2018,Febrero,2,(210)  PSICOLOGIA,FACULTAD DE PSICOLOGIA,55,3085,2852,98,59
2018,Febrero,2,(211)  QUIMICA,FES CUAUTITLAN,26,306,284,80,27
2018,Febrero,2,(211)  QUIMICA,FACULTAD DE QUIMICA,20,685,638,106,20
2018,Febrero,2,(212)  QUIMICA DE ALIMENTOS,FACULTAD DE QUIMICA,30,750,713,96,33
2018,Febrero,2,(213)  QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUIMICA,42,2005,1874,101,55
2018,Febrero,2,(213)  QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,35,1539,1478,91,37
2018,Febrero,2,(214)  QUIMICA INDUSTRIAL,FES CUAUTITLAN,40,426,405,77,41
